i: 0, j: 0, char: a, height: 0
i: 0, j: 1, char: b, height: 1
i: 0, j: 2, char: c, height: 2
i: 0, j: 3, char: c, height: 2
i: 0, j: 4, char: c, height: 2
i: 0, j: 5, char: a, height: 0
i: 0, j: 6, char: a, height: 0
i: 0, j: 7, char: a, height: 0
i: 0, j: 8, char: a, height: 0
i: 0, j: 9, char: a, height: 0
i: 0, j: 10, char: c, height: 2
i: 0, j: 11, char: c, height: 2
i: 0, j: 12, char: c, height: 2
i: 0, j: 13, char: a, height: 0
i: 0, j: 14, char: c, height: 2
i: 0, j: 15, char: c, height: 2
i: 0, j: 16, char: c, height: 2
i: 0, j: 17, char: c, height: 2
i: 0, j: 18, char: c, height: 2
i: 0, j: 19, char: c, height: 2
i: 0, j: 20, char: c, height: 2
i: 0, j: 21, char: c, height: 2
i: 0, j: 22, char: c, height: 2
i: 0, j: 23, char: c, height: 2
i: 0, j: 24, char: c, height: 2
i: 0, j: 25, char: c, height: 2
i: 0, j: 26, char: c, height: 2
i: 0, j: 27, char: c, height: 2
i: 0, j: 28, char: c, height: 2
i: 0, j: 29, char: c, height: 2
i: 0, j: 30, char: c, height: 2
i: 0, j: 31, char: c, height: 2
i: 0, j: 32, char: c, height: 2
i: 0, j: 33, char: c, height: 2
i: 0, j: 34, char: c, height: 2
i: 0, j: 35, char: c, height: 2
i: 0, j: 36, char: c, height: 2
i: 0, j: 37, char: c, height: 2
i: 0, j: 38, char: c, height: 2
i: 0, j: 39, char: c, height: 2
i: 0, j: 40, char: c, height: 2
i: 0, j: 41, char: c, height: 2
i: 0, j: 42, char: c, height: 2
i: 0, j: 43, char: c, height: 2
i: 0, j: 44, char: c, height: 2
i: 0, j: 45, char: c, height: 2
i: 0, j: 46, char: c, height: 2
i: 0, j: 47, char: c, height: 2
i: 0, j: 48, char: c, height: 2
i: 0, j: 49, char: c, height: 2
i: 0, j: 50, char: c, height: 2
i: 0, j: 51, char: c, height: 2
i: 0, j: 52, char: c, height: 2
i: 0, j: 53, char: c, height: 2
i: 0, j: 54, char: c, height: 2
i: 0, j: 55, char: c, height: 2
i: 0, j: 56, char: c, height: 2
i: 0, j: 57, char: c, height: 2
i: 0, j: 58, char: c, height: 2
i: 0, j: 59, char: c, height: 2
i: 0, j: 60, char: c, height: 2
i: 0, j: 61, char: c, height: 2
i: 0, j: 62, char: c, height: 2
i: 0, j: 63, char: c, height: 2
i: 0, j: 64, char: c, height: 2
i: 0, j: 65, char: c, height: 2
i: 0, j: 66, char: c, height: 2
i: 0, j: 67, char: c, height: 2
i: 0, j: 68, char: c, height: 2
i: 0, j: 69, char: a, height: 0
i: 0, j: 70, char: a, height: 0
i: 0, j: 71, char: a, height: 0
i: 0, j: 72, char: a, height: 0
i: 0, j: 73, char: a, height: 0
i: 0, j: 74, char: a, height: 0
i: 0, j: 75, char: c, height: 2
i: 0, j: 76, char: a, height: 0
i: 0, j: 77, char: c, height: 2
i: 0, j: 78, char: c, height: 2
i: 0, j: 79, char: c, height: 2
i: 0, j: 80, char: c, height: 2
i: 0, j: 81, char: c, height: 2
i: 0, j: 82, char: c, height: 2
i: 0, j: 83, char: a, height: 0
i: 0, j: 84, char: a, height: 0
i: 0, j: 85, char: a, height: 0
i: 0, j: 86, char: c, height: 2
i: 0, j: 87, char: c, height: 2
i: 0, j: 88, char: c, height: 2
i: 0, j: 89, char: c, height: 2
i: 0, j: 90, char: c, height: 2
i: 0, j: 91, char: c, height: 2
i: 0, j: 92, char: c, height: 2
i: 0, j: 93, char: c, height: 2
i: 0, j: 94, char: c, height: 2
i: 0, j: 95, char: c, height: 2
i: 0, j: 96, char: c, height: 2
i: 0, j: 97, char: c, height: 2
i: 0, j: 98, char: c, height: 2
i: 0, j: 99, char: c, height: 2
i: 0, j: 100, char: c, height: 2
i: 0, j: 101, char: c, height: 2
i: 0, j: 102, char: c, height: 2
i: 0, j: 103, char: c, height: 2
i: 0, j: 104, char: c, height: 2
i: 0, j: 105, char: c, height: 2
i: 0, j: 106, char: c, height: 2
i: 0, j: 107, char: c, height: 2
i: 0, j: 108, char: c, height: 2
i: 0, j: 109, char: c, height: 2
i: 0, j: 110, char: c, height: 2
i: 0, j: 111, char: c, height: 2
i: 0, j: 112, char: c, height: 2
i: 0, j: 113, char: c, height: 2
i: 0, j: 114, char: c, height: 2
i: 0, j: 115, char: c, height: 2
i: 0, j: 116, char: c, height: 2
i: 0, j: 117, char: c, height: 2
i: 0, j: 118, char: c, height: 2
i: 0, j: 119, char: c, height: 2
i: 0, j: 120, char: c, height: 2
i: 0, j: 121, char: a, height: 0
i: 0, j: 122, char: a, height: 0
i: 0, j: 123, char: a, height: 0
i: 0, j: 124, char: a, height: 0
i: 0, j: 125, char: a, height: 0
i: 0, j: 126, char: a, height: 0
i: 0, j: 127, char: a, height: 0
i: 0, j: 128, char: a, height: 0
i: 0, j: 129, char: c, height: 2
i: 0, j: 130, char: c, height: 2
i: 0, j: 131, char: c, height: 2
i: 0, j: 132, char: c, height: 2
i: 0, j: 133, char: c, height: 2
i: 0, j: 134, char: c, height: 2
i: 0, j: 135, char: c, height: 2
i: 0, j: 136, char: c, height: 2
i: 0, j: 137, char: c, height: 2
i: 0, j: 138, char: c, height: 2
i: 0, j: 139, char: c, height: 2
i: 0, j: 140, char: c, height: 2
i: 0, j: 141, char: c, height: 2
i: 0, j: 142, char: c, height: 2
i: 0, j: 143, char: c, height: 2
i: 0, j: 144, char: c, height: 2
i: 0, j: 145, char: c, height: 2
i: 0, j: 146, char: c, height: 2
i: 0, j: 147, char: c, height: 2
i: 0, j: 148, char: c, height: 2
i: 0, j: 149, char: c, height: 2
i: 0, j: 150, char: c, height: 2
i: 0, j: 151, char: c, height: 2
i: 0, j: 152, char: c, height: 2
i: 0, j: 153, char: c, height: 2
i: 0, j: 154, char: c, height: 2
i: 0, j: 155, char: c, height: 2
i: 0, j: 156, char: c, height: 2
i: 0, j: 157, char: c, height: 2
i: 0, j: 158, char: c, height: 2
i: 0, j: 159, char: c, height: 2
i: 0, j: 160, char: c, height: 2
i: 0, j: 161, char: a, height: 0
i: 0, j: 162, char: a, height: 0
i: 0, j: 163, char: a, height: 0
